"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"17713","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey  (2024-2029)","Elected MP","15-Jan-2026","BHAVANI TREDERS","Payment Success","80948"
"17714","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18170/2024-2025/161867","Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA)","AMRARAM (2024-2029)","Elected MP","24-Dec-2025","Madan lal","Payment Success","14820"
"17715","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18170/2024-2025/161867","Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA)","AMRARAM (2024-2029)","Elected MP","24-Dec-2025","Bhawari Devi","Payment Success","14820"
"17716","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18170/2024-2025/161867","Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA)","AMRARAM (2024-2029)","Elected MP","24-Dec-2025","Santosh devi","Payment Success","14250"
"17717","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18170/2024-2025/161867","Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA)","AMRARAM (2024-2029)","Elected MP","24-Dec-2025","Jamna devi","Payment Success","11115"
"17718","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18170/2024-2025/161867","Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA)","AMRARAM (2024-2029)","Elected MP","24-Dec-2025","Bajrang Lal","Payment Success","11115"
"17719","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP423/2025-2026/138462","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee (2024-2029)","Elected MP","26-Dec-2025","MG CONSTRUCTION","Payment Success","786391"
"17720","Odisha","Construction of rooms and halls in school and colleges","WS/MP18350/2025-2026/232282","Kandhamala(DISTRICT COLLECTOR KANDHAMAL_IDA)","SUKANTA KUMAR PANIGRAHI (2024-2029)","Elected MP","29-Dec-2025","M S B N ENTERPRISES","Payment Success","1000000"
"17721","Odisha","Development of playfields and sports grounds","WS/MP18350/2025-2026/207432","Kandhamala(DISTRICT COLLECTOR KANDHAMAL_IDA)","SUKANTA KUMAR PANIGRAHI (2024-2029)","Elected MP","24-Feb-2026","M S B N ENTERPRISES","Payment Success","500000"
"17722","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18350/2025-2026/232281","Kandhamala(DISTRICT COLLECTOR KANDHAMAL_IDA)","SUKANTA KUMAR PANIGRAHI (2024-2029)","Elected MP","24-Feb-2026","M S B N ENTERPRISES","Payment Success","500000"
