"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3115","Madhya Pradesh","Development of public parks","WS/MP643/2025-2026/259819","BURHANPUR(District Collector Burhanpur_IDA)","Gyaneshwar Patil (2024-2029)","Elected MP","17-Aug-2026","gram panchayat bhawsa","Payment Success","500000"
"3116","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18264/2025-2026/208761","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","ADV K FRANCIS GEORGE (2024-2029)","Elected MP","17-Aug-2026","Sabu K A","Payment Success","367621"
"3117","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP568/2026-2027/295316","BEMETARA(Collector Bemetara_IDA)","Vijay Baghel (2024-2029)","Elected MP","18-Aug-2026","GRAM PANCHAYT SARDA","Payment Success","375000"
"3118","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280099","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3119","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280098","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3120","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280097","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3121","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280096","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3122","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280079","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3123","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280082","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3124","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280081","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3125","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280080","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3126","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280089","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3127","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280086","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3128","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280085","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3129","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280084","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3130","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280083","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3131","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280087","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3132","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280088","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3133","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280094","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3134","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280093","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3135","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280092","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3136","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280091","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3137","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280090","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3138","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280101","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3139","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280100","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3140","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280095","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3141","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280105","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3142","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280103","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3143","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280102","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3144","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280113","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3145","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280112","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3146","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280111","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3147","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280110","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3148","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280109","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3149","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280108","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3150","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280104","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3151","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2026-2027/177755","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK (2024-2029)","Elected MP","21-Aug-2026","BDO GHASIPURA ROYALTY","Payment Success","16869"
"3152","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta (2024-2029)","Elected MP","19-Aug-2026","K R AND SONS Binta Almora","Payment Success","94297"
"3153","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta (2024-2029)","Elected MP","24-Aug-2026","VINOD CHANDRA","Payment Success","8136"
"3154","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta (2024-2029)","Elected MP","24-Aug-2026","BHUWAN CHANDRA JOSHI","Payment Success","8136"
"3155","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta (2024-2029)","Elected MP","24-Aug-2026","SURESH CHANDRA","Payment Success","5400"
"3156","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta (2024-2029)","Elected MP","24-Aug-2026","Khasti Devi Joshi","Payment Success","5400"
"3157","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta (2024-2029)","Elected MP","24-Aug-2026","BHUWAN CHANDRA MATHPAL","Payment Success","5400"
"3158","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta (2024-2029)","Elected MP","24-Aug-2026","MAMTA MATHPAL","Payment Success","5400"
"3159","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta (2024-2029)","Elected MP","24-Aug-2026","BABITA PATHAK","Payment Success","5400"
"3160","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta (2024-2029)","Elected MP","24-Aug-2026","DAYA DEVI","Payment Success","5400"
"3161","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta (2024-2029)","Elected MP","24-Aug-2026","TULSI DEVI JOSHI","Payment Success","5400"
"3162","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta (2024-2029)","Elected MP","24-Aug-2026","BHUWAN SINGH","Payment Success","5400"
"3163","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta (2024-2029)","Elected MP","24-Aug-2026","ANIL KUMAR","Payment Success","5400"
"3164","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta (2024-2029)","Elected MP","24-Aug-2026","CHARU  JOSHI","Payment Success","5400"
"3165","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta (2024-2029)","Elected MP","24-Aug-2026","MUNNI DEVI","Payment Success","5400"
"3166","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta (2024-2029)","Elected MP","24-Aug-2026","DHAN SINGH","Payment Success","5400"
"3167","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta (2024-2029)","Elected MP","24-Aug-2026","KHEEMA  NATH","Payment Success","5400"
"3168","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta (2024-2029)","Elected MP","24-Aug-2026","DEVKI DEVI","Payment Success","5400"
"3169","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta (2024-2029)","Elected MP","24-Aug-2026","NEEMA","Payment Success","2400"
"3170","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta (2024-2029)","Elected MP","24-Aug-2026","MANOJ MATHPAL","Payment Success","2400"
"3171","Telangana","Installing tube-wells and borewells","WS/MP770/2026-2027/245428","KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA)","Sanjay Kumar Bandi (2024-2029)","Elected MP","19-Aug-2026","Gunta Ravi","Payment Success","184482"
"3172","Telangana","Installing tube-wells and borewells","WS/MP770/2026-2027/245426","KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA)","Sanjay Kumar Bandi (2024-2029)","Elected MP","19-Aug-2026","Gunta Ravi","Payment Success","192229"
"3173","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP756/2026-2027/242938","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Thirumaa Valavan Thol (2024-2029)","Elected MP","18-Aug-2026","SUNDARASU","Payment Success","382845"
"3174","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP568/2026-2027/298663","BEMETARA(Collector Bemetara_IDA)","Vijay Baghel (2024-2029)","Elected MP","18-Aug-2026","GRAM PANCHAYT KHARRA","Payment Success","400000"
"3175","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP568/2026-2027/298666","BEMETARA(Collector Bemetara_IDA)","Vijay Baghel (2024-2029)","Elected MP","18-Aug-2026","GRAM PANCHAYAT KHAMTRAI","Payment Success","400000"
"3176","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP568/2026-2027/298665","BEMETARA(Collector Bemetara_IDA)","Vijay Baghel (2024-2029)","Elected MP","18-Aug-2026","GRAM PANCHAYT GODGIRI","Payment Success","400000"
"3177","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP568/2026-2027/298664","BEMETARA(Collector Bemetara_IDA)","Vijay Baghel (2024-2029)","Elected MP","18-Aug-2026","GRAM PANCHAYT DEVRI","Payment Success","400000"
"3178","Telangana","Construction of toilet blocks","WS/MP18338/2026-2027/258078","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","CHAMALA KIRAN KUMAR REDDY (2024-2029)","Elected MP","17-Aug-2026","V Indrasena","Payment Success","498542"
"3179","Punjab","Construction of community centers and community halls","WS/MP18155/2025-2026/262258","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","DR. RAJ KUMAR CHABBEWAL (2024-2029)","Elected MP","19-Aug-2026","SONIA RANI","Payment Success","28800"
"3180","Punjab","Construction of community centers and community halls","WS/MP18155/2025-2026/262258","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","DR. RAJ KUMAR CHABBEWAL (2024-2029)","Elected MP","19-Aug-2026","SONIA RANI","Payment Success","54000"
"3181","Odisha","Construction of rooms and halls in school and colleges","WS/MP18310/2026-2027/243221","BHADRAK(DISTRICT COLLECTOR BHADRAK_IDA)","AVIMANYU SETHI (2024-2029)","Elected MP","16-Aug-2026","JYOTIMAYI PATTANAYAK","Payment Success","500000"
"3182","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18103/2026-2027/285484","GWALIOR(DISTRICT COLLECTOR GWALIOR_IDA)","BHARAT SINGH KUSHWAH (2024-2029)","Elected MP","14-Aug-2026","GP DUBAHA","Payment Success","250000"
"3183","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268581","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV (2024-2029)","Elected MP","16-Aug-2026","aakash","Payment Success","10500"
"3184","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268581","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV (2024-2029)","Elected MP","16-Aug-2026","pohap singh","Payment Success","10500"
"3185","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268581","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV (2024-2029)","Elected MP","20-Aug-2026","pohap singh","Payment Success","4067"
"3186","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268581","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV (2024-2029)","Elected MP","16-Aug-2026","mahavir singh","Payment Success","3990"
"3187","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268581","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV (2024-2029)","Elected MP","16-Aug-2026","guddi devi","Payment Success","3990"
"3188","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268581","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV (2024-2029)","Elected MP","16-Aug-2026","lokendra singh","Payment Success","3990"
"3189","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268581","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV (2024-2029)","Elected MP","16-Aug-2026","asha","Payment Success","1140"
"3190","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268581","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV (2024-2029)","Elected MP","16-Aug-2026","rimjhim","Payment Success","3990"
"3191","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268581","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV (2024-2029)","Elected MP","16-Aug-2026","savitri devi","Payment Success","3990"
"3192","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268581","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV (2024-2029)","Elected MP","16-Aug-2026","mahesh chand","Payment Success","10500"
"3193","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268581","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV (2024-2029)","Elected MP","16-Aug-2026","khaimraj","Payment Success","3990"
"3194","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268581","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV (2024-2029)","Elected MP","16-Aug-2026","seenu","Payment Success","3990"
"3195","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268581","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV (2024-2029)","Elected MP","16-Aug-2026","pramod","Payment Success","3990"
"3196","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/208921","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt (2024-2029)","Elected MP","23-Aug-2026","ASHA","Payment Success","18300"
"3197","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/208921","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt (2024-2029)","Elected MP","23-Aug-2026","MEENA DEVI","Payment Success","18300"
"3198","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/208921","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt (2024-2029)","Elected MP","23-Aug-2026","RADHA","Payment Success","18300"
"3199","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/208921","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt (2024-2029)","Elected MP","23-Aug-2026","PRAKASH CHANDRA","Payment Success","18300"
"3200","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/208921","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt (2024-2029)","Elected MP","23-Aug-2026","NAMVATI","Payment Success","9595"
"3201","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/208921","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt (2024-2029)","Elected MP","23-Aug-2026","CHANDRA SEN","Payment Success","9595"
"3202","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/208921","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt (2024-2029)","Elected MP","23-Aug-2026","ANIS","Payment Success","9595"
"3203","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/208921","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt (2024-2029)","Elected MP","23-Aug-2026","SAFIK","Payment Success","9595"
"3204","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP380/2026-2027/273248","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh (2024-2029)","Elected MP","19-Aug-2026","Dasmesh tiles and buliding material","Payment Success","27200"
"3205","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP380/2026-2027/273248","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh (2024-2029)","Elected MP","19-Aug-2026","Dasmesh tiles and buliding material","Payment Success","66000"
"3206","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP380/2026-2027/273248","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh (2024-2029)","Elected MP","19-Aug-2026","jaswinder singh","Payment Success","35638"
"3207","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18158/2025-2026/232779","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI (2024-2029)","Elected MP","18-Aug-2026","GS TILES","Payment Success","93200"
"3208","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/177534","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt (2024-2029)","Elected MP","22-Aug-2026","RKTREDERS","Payment Success","7262"
"3209","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18034/2026-2027/264839","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","CHIRAG PASWAN (2024-2029)","Elected MP","25-Aug-2026","Dinesh Kumar","Payment Success","989200"
"3210","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18158/2026-2027/279021","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI (2024-2029)","Elected MP","18-Aug-2026","SD TILE AND ANDUSTRIES","Payment Success","45840"
"3211","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18158/2026-2027/279021","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI (2024-2029)","Elected MP","18-Aug-2026","SD TILE AND ANDUSTRIES","Payment Success","45840"
"3212","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18158/2026-2027/279021","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI (2024-2029)","Elected MP","18-Aug-2026","SD TILE AND ANDUSTRIES","Payment Success","45840"
"3213","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18158/2026-2027/279021","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI (2024-2029)","Elected MP","18-Aug-2026","SD TILE AND ANDUSTRIES","Payment Success","45840"
"3214","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18158/2026-2027/279021","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI (2024-2029)","Elected MP","18-Aug-2026","RAM KUMAR THERI SARPANCH","Payment Success","74540"
"3215","Maharashtra","Installation of fixed garden gym equipment","WS/MP18128/2026-2027/217789","PALGHAR(DISTRICT COLLECTOR PALGHAR_IDA)","DR. HEMANT VISHNU SAVARA (2024-2029)","Elected MP","17-Aug-2026","JAY SHREE KRUSHNA MAJUR KAMGAR SANSTHA","Payment Success","994243"
"3216","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/258730","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV (2024-2029)","Elected MP","20-Aug-2026","bhagwan singh","Payment Success","425285"
"3217","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/258721","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV (2024-2029)","Elected MP","20-Aug-2026","bhagwan singh","Payment Success","426350"
"3218","Haryana","Construction of public toilets and bathrooms","WS/MP329/2026-2027/279156","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Shri  Dharambir Singh (2024-2029)","Elected MP","14-Aug-2026","The Titani Co op l and C Society LTD","Payment Success","202988"
"3219","Haryana","Construction of public toilets and bathrooms","WS/MP329/2026-2027/279156","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Shri  Dharambir Singh (2024-2029)","Elected MP","14-Aug-2026","Dada Udal Dev Industries","Payment Success","96941"
"3220","Bihar","Construction of community centers and community halls","WS/MP316/2025-2026/237834","SARAN(DISTRICT PLANNING OFFICE SARAN CHAPRA_IDA)","Shri Janardan Singh Sigriwal  (2024-2029)","Elected MP","17-Aug-2026","DHUPENDRA PRASAD","Payment Success","1458930"
