"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"14338","Normal/Others","WS/MP743/2024-2025/142091-Construction of buildings for crèches and anganwadies","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Construction of Anganwadi Building at Govindavadi Colony, Govindavadi Panchayat, Walajabad Panchayat Union.","Ganesan Selvam","KANCHEEPURAM(SC)","Images","13-Mar-2026","1498588"
"14339","Normal/Others","WS/MP673/2025-2026/193049-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","Dharashiv(DISTRICT COLLECTOR OSMANABAD_IDA)","Construction of cement road from Akshay Jogdand house to Nitin Gaikwad house on public space at Warewadgaon block Bhum Dist. Dharashiv. (SC)","Omprakash Bhupalsinh Alias Pawan Rajenimbalkar","OSMANABAD","N/A","29-Aug-2025","494997"
"14340","Normal/Others","WS/MP18149/2025-2026/182966-Street lights","Odisha","PURI(DISTRICT COLLECTOR PURI_IDA)","Installation of Solar Light at Creamation Ground.","SAMBIT PATRA","PURI","Images","29-Aug-2025","40000"
"14341","Normal/Others","WS/MP18149/2025-2026/182986-Street lights","Odisha","PURI(DISTRICT COLLECTOR PURI_IDA)","Installation of Solar Light at Creamation Ground.","SAMBIT PATRA","PURI","Images","29-Aug-2025","40000"
"14342","Normal/Others","WS/MP18149/2025-2026/182987-Street lights","Odisha","PURI(DISTRICT COLLECTOR PURI_IDA)","Installation of Solar Light at Creamation Ground.","SAMBIT PATRA","PURI","Images","29-Aug-2025","40000"
"14343","Normal/Others","WS/MP18149/2025-2026/182985-Street lights","Odisha","PURI(DISTRICT COLLECTOR PURI_IDA)","Installation of Solar Light at Creamation Ground.","SAMBIT PATRA","PURI","Images","29-Aug-2025","40000"
"14344","Normal/Others","WS/MP18149/2025-2026/182984-Street lights","Odisha","PURI(DISTRICT COLLECTOR PURI_IDA)","Installation of Solar Light at Creamation Ground.","SAMBIT PATRA","PURI","Images","29-Aug-2025","40000"
"14345","Normal/Others","WS/MP18149/2025-2026/183000-Street lights","Odisha","PURI(DISTRICT COLLECTOR PURI_IDA)","Installation of Solar Light at Creamation Ground,Abhayamukhi Village,Abhayamukhi GP","SAMBIT PATRA","PURI","Images","29-Aug-2025","40000"
"14346","Normal/Others","WS/MP18149/2025-2026/183001-Street lights","Odisha","PURI(DISTRICT COLLECTOR PURI_IDA)","Installation of Solar Light at Creamation Ground,Indupuradeuli Village, Abhayamukhi GP","SAMBIT PATRA","PURI","Images","29-Aug-2025","40000"
"14347","Normal/Others","WS/MP18149/2025-2026/182994-Street lights","Odisha","PURI(DISTRICT COLLECTOR PURI_IDA)","Installation of Solar Light at Creamation Ground.","SAMBIT PATRA","PURI","Images","29-Aug-2025","40000"
"14348","Normal/Others","WS/MP18149/2025-2026/182995-Street lights","Odisha","PURI(DISTRICT COLLECTOR PURI_IDA)","Installation of Solar Light at Creamation Ground.","SAMBIT PATRA","PURI","Images","29-Aug-2025","40000"
"14349","Normal/Others","WS/MP18237/2024-2025/179836-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Gram shimlana me ravidas mandir se pramod ke ghar tak cc road evm nali niarman karye. anusuchit jati evm janjati 50 meter","IMRAN MASOOD","SAHARANPUR","Images","31-Aug-2025","415137"
"14350","Normal/Others","WS/MP18237/2024-2025/179726-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Gram Salampur bhukdi me badlu ke makan se harkesh ke makan tak cc road evm nali nirman karye. 110 meter","IMRAN MASOOD","SAHARANPUR","Images","31-Aug-2025","1178405"
"14351","Normal/Others","WS/MP18237/2024-2025/179693-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Gram Madti ka majra khairi me badi maszid se zahid ke makan ke or cc road evm nali nirman karye. 150 meter","IMRAN MASOOD","SAHARANPUR","Images","31-Aug-2025","1467174"
"14352","Normal/Others","WS/MP18237/2024-2025/179833-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Gram kurdi me ravidas mandir se ek sambandhit gali shit vipin v mahipal ke ghar tak cc road evm nali nirman karye. anusuchit jati evm janjati 100 meter","IMRAN MASOOD","SAHARANPUR","Images","31-Aug-2025","292690"
"14353","Normal/Others","WS/MP18237/2024-2025/183347-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Gram Khushhalpur mein main chauraha se Shahzad ke makaan tak CC road nirmaan karya. lambai 190 meter","IMRAN MASOOD","SAHARANPUR","Images","31-Aug-2025","814730"
"14354","Normal/Others","WS/MP021/2025-2026/176278-Construction of community centers and community halls","Uttarakhand","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","ward number 40 Mein Shri Vishweshwar Mahadev Mandir Shiv Vihar himmatpur Malla UnchaPul post Haripur Nayak Sarvajanik Sthan Mein Janmilan Kendra Nirman Karya Hetu","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","Images","18-Sep-2025","249905"
"14355","Normal/Others","WS/MP18036/2025-2026/216991-Construction of public staircase/ stair ghat for public convenience","Bihar","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","Construction of a stepped ghat on the western side of the Simrakhor pond in village Basaiya","ARUN BHARTI","JAMUI(SC)","N/A","30-Aug-2025","294021"
"14356","Normal/Others","WS/MP323/2025-2026/218133-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","GIR SOMNATH(DISTRICT COLLECTOR GIR SOMNATH_IDA)","Gir Somnath District,Sutrapada Taluka,Singsar village,CC road work from Malabhai Hamirbhai farm to Rameshbhai Bhanabhai house in Singsar village","Rajeshbhai Naranbhai Chudasama","JUNAGADH","Images","19-Dec-2025","286041"
"14357","Normal/Others","WS/MP18157/2025-2026/192014-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Construction of Street by laying Interlock tiles From house of Bikkar Singh to Park and house of Gurpreet Singh Gora to Main Road in Vill. Galib Khurd, Block Jagraon, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","12-Dec-2025","500000"
"14358","Normal/Others","WS/MP18036/2025-2026/206647-Construction of common work sheds/ common covered sitting area","Bihar","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","Construction of a roofed platform (chabutra), Near Baba Tularam Sthan","ARUN BHARTI","JAMUI(SC)","Images","02-Feb-2026","294043"
"14359","Normal/Others","WS/MP18186/2025-2026/149096-Lighting of public spaces","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Installation of high Max light in Thiruvekadu Municipality Bus Stand Ward No. 14","Sasikanth Senthil","TIRUVALLUR(SC)","N/A","30-Aug-2025","640161"
